recipe,link,class,fat,flour,sugar,flour_type,notes
Easy lemon layer cake,https://www.bbcgoodfood.com//recipes/lemon-layer-cake-with-soft-cheese-icing,Cake,225g butter,225g,225g,SR,
Easy carrot cake,https://www.bbcgoodfood.com//recipes/carrot-cake,Cake,230ml veg. Oil,265g,335g,SR,
Chocolate stout cake,https://www.bbcgoodfood.com//recipes/chocolate-stout-cake,Cake,225g butter,275g,375g,plain,
Classic Victoria sandwich recipe,https://www.bbcgoodfood.com//recipes/classic-victoria-sandwich-recipe,Cake,200g butter,200g,200g,SR,
Rose & pistachio cacen ffenest (‘window cake’),https://www.bbcgoodfood.com//recipes/rose-pistachio-cacen-ffenest-window-cake,Cake,175g butter,175g,175g,SR,
Classic carrot cake,https://www.bbcgoodfood.com//recipes/next-level-carrot-cake,Cake,200g butter,150g,200g,SR,
Lemon & elderflower celebration cake,https://www.bbcgoodfood.com//recipes/elderflower-lemon-celebration-cake,Cake,450g butter,450g,450g,SR,
Brazilian carrot cake,https://www.bbcgoodfood.com//recipes/brazilian-carrot-cake,Cake,250ml veg. Oil,260g,400g,plain,
Mini victoria sponge cakes,https://www.bbcgoodfood.com//recipes/mini-victoria-sponges,Cake,150g butter,150g,150g,SR,
Vegan simnel cake,https://www.bbcgoodfood.com//recipes/vegan-simnel-cake,Cake,250g spread,200g,200g,plain,
Blackberry & orange cake,https://www.bbcgoodfood.com//recipes/blackberry-orange-cake,Cake,225g butter,250g,225g,SR,
Vegan birthday cake,https://www.bbcgoodfood.com//recipes/vegan-birthday-cake,Cake,320ml sunflower oil,450g,500g,SR,
"Citrus, almond & yogurt cake",https://www.bbcgoodfood.com//recipes/citrus-almond-yogurt-cake,Cake,165g butter,150g,200g,SR,
Easy pound cake,https://www.bbcgoodfood.com//recipes/easy-vanilla-pound-cake,Cake,200g butter,200g,200g,SR,
Lemon drizzle cake,https://www.bbcgoodfood.com//recipes/lemon-drizzle-cake,Cake,225g butter,225g,225g,SR,
"Cherry, custard & almond sponge cake",https://www.bbcgoodfood.com//recipes/cherry-custard-almond-sponge-cake,Cake,220g butter,170g,220g,SR,
Lemon sponge cake,https://www.bbcgoodfood.com//recipes/lemon-sponge,Cake,175g butter,250g,175g,SR,
Easy chocolate fudge cake,https://www.bbcgoodfood.com//recipes/naughty-chocolate-fudge-cake,Cake,150ml sunflower oil,175g,150g,SR,
Gingerbread loaf cake,https://www.bbcgoodfood.com//recipes/gingerbread-honey-loaf,Cake,100g butter,200g,125g,SR,
Butterfly cupcakes,https://www.bbcgoodfood.com//recipes/butterfly-cupcakes,Cake,300g,300g,300g,SR,
Lemon drizzle sponge pudding,https://www.bbcgoodfood.com//recipes/lemon-drizzle-sponge-pudding,Cake,250g butter,250g,380g,SR,
Easy caramel cake,https://www.bbcgoodfood.com//recipes/easy-caramel-cake,Cake,225g butter,225g,225g,SR,
Cherry bakewell cake,https://www.bbcgoodfood.com//recipes/cherry-bakewell-cake,Cake,200g butter,200g,200g,"1/2 SR, 1/2 almond",
Sponge cake,https://www.bbcgoodfood.com//recipes/sponge-cake,Cake,225g butter,225g,225g,SR,
Ricciarelli biscuits,https://www.bbcgoodfood.com//recipes/ricciarelli-biscuits,Biscuit,0g,260g,200g,ground almonds,
Florentine biscuits,https://www.bbcgoodfood.com//recipes/florentine-biscuits,Biscuit,175g butter,225g,85g,plain,
Chocolate fudge crinkle biscuits,https://www.bbcgoodfood.com//recipes/chocolate-fudge-crinkle-biscuits,Biscuit,60ml veg. Oil,180g,270g,plain,
"Almond, orange & ginger florentines",https://www.bbcgoodfood.com//recipes/almond-orange-ginger-florentines,Biscuit,50g butter,50g,100g,plain,sugar and golden syrup considered one
Oatmeal raisin cookies,https://www.bbcgoodfood.com//recipes/oatmeal-raisin-cookies,Biscuit,150ml veg. Oil,140g,200g,plain,
Checkerboard biscuits,https://www.bbcgoodfood.com//recipes/checkerboard-biscuits,Biscuit,100g butter,200g,100g,plain,
Universal biscuit dough,https://www.bbcgoodfood.com//recipes/universal-biscuit-dough,Biscuit,200g butter,400g,200g,plain,
Rhubarb & custard sandwich biscuits,https://www.bbcgoodfood.com//recipes/rhubarb-custard-sandwich-biscuits,Biscuit,175g butter,250g,100g,plain,sugar is 50:50 mix
Vintage chocolate chip cookies,https://www.bbcgoodfood.com//recipes/vintage-chocolate-chip-cookies,Biscuit,150g butter,225g,160g,plain,sugar is 50:50 mix
Christmas raspberry dodgers,https://www.bbcgoodfood.com//recipes/christmas-raspberry-dodgers,Biscuit,200g butter,400g,200g,plain,
Chocolate peanut butter shortbread sandwiches,https://www.bbcgoodfood.com//recipes/chocolate-peanut-butter-shortbread-sandwiches,Biscuit,225g butter,300g,150g,plain,
Bourbon biscuits,https://www.bbcgoodfood.com//recipes/neapolitan-bourbons,Biscuit,125g butter,250g,125g,plain,
Rangoli cookies,https://www.bbcgoodfood.com//recipes/rangoli-cookies,Biscuit,175g butter,370g,200g,plain,
Macarons,https://www.bbcgoodfood.com//recipes/macarons,Biscuit,0g,160g,330g,ground almonds,
Easy millionaire’s shortbread,https://www.bbcgoodfood.com//recipes/easy-millionaires-shortbread,Biscuit,175g butter,250g,75g,plain,
Oat biscuits,https://www.bbcgoodfood.com//recipes/oat-biscuits-0,Biscuit,75g butter,75g,50g,wholemeal,
Brandy snaps,https://www.bbcgoodfood.com//recipes/brandy-snaps,Biscuit,50g,50g,100g,plain,"sugar, syrup"
Chocolate orange fudge crinkle biscuits,https://www.bbcgoodfood.com//recipes/chocolate-orange-fudge-crinkle-biscuits,Biscuit,60ml veg. Oil,180g,230g,plain,
Simple jammy biscuits,https://www.bbcgoodfood.com//recipes/simple-jammy-biscuits,Biscuit,100g butter,200g,100g,SR,
Viennese whirls,https://www.bbcgoodfood.com//recipes/viennese-whirls,Biscuit,200g butter,200g,50g,plain,
Ginger biscuits,https://www.bbcgoodfood.com//recipes/ginger-biscuits,Biscuit,100g butter,250g,175g,SR,"sugar, syrup"
Basic shortcrust pastry,https://www.bbcgoodfood.com//recipes/basic-shortcrust-pastry,Pastry,125g butter,250g,0g,plain,
Sweet shortcrust pastry,https://www.bbcgoodfood.com//recipes/sweet-shortcrust-pastry,Pastry,75g butter,150g,50g,plain,
Gluten-free shortcrust pastry,https://www.bbcgoodfood.com//recipes/gluten-free-shortcrust-pastry,Pastry,125g butter,250g,0g,GF plain,
Shortcrust pastry case,https://www.bbcgoodfood.com//recipes/shortcrust-pastry-case,Pastry,100g,200g,0g,plain,
Homemade apple pie,https://www.bbcgoodfood.com//recipes/ultimate-apple-pie,Pastry,225g butter,350g,50g,plain,
Frangipane mince pies,https://www.bbcgoodfood.com//recipes/almond-topped-mince-pies,Pastry,140g butter,280g,50g,plain,
Orange pastry mince pies,https://www.bbcgoodfood.com//recipes/orange-pastry-mince-pies,Pastry,375g butter,500g,175g,plain,
Blueberry & almond tart,https://www.bbcgoodfood.com//recipes/blueberry-almond-tart,Pastry,85g butter,175g,175g,ground almonds,
Puff pastry,https://www.bbcgoodfood.com//recipes/puff-pastry,Pastry,225g butter,250g,0g,,
Easy apple pie,https://www.bbcgoodfood.com//recipes/apple-pie,Pastry,140g butter,225g,0g,plain,
Apple & ginger pie with walnut pastry,https://www.bbcgoodfood.com//recipes/apple-ginger-pie-walnut-pastry,Pastry,100g butter,175g,50g,plain,
Apricot & ginger frangipane tart,https://www.bbcgoodfood.com//recipes/apricot-ginger-frangipane-tart,Pastry,100g butter,200g,50g,plain,
Mince pies,https://www.bbcgoodfood.com//recipes/mince-pies,Pastry,260g butter,375g,125g,plain,
Roasted plum & pistachio custard pastries,https://www.bbcgoodfood.com//recipes/roasted-plum-pistachio-custard-pastries,Pastry,50g butter,300g,50g,plain,
Lemon tart,https://www.bbcgoodfood.com//recipes/greggs-tangy-lemon-tart,Pastry,250g butter,500g,140g,plain,
Rustic strawberry tart,https://www.bbcgoodfood.com//recipes/rustic-strawberry-tart,Pastry,140g butter,225g,25g,plain,
